tract,percent_white_2016,percent_white_2015,percent_white_2014,percent_white_2013,percent_white_2012,percent_white_2011
814.03,0.648290899255526,0.654171705,0.6484865791,0.6743295019,0.6602328431000001,0.6610348469
815,0.6752276449921937,0.6751923947,0.7234090909,0.7745471878,0.764604811,0.7824361201000001
816,0.6934533806140971,0.6981244418000001,0.7293043751999999,0.7113737075,0.7105263158,0.6988925470999999
817,0.6700118804971699,0.6846011131999999,0.6146382035,0.6179844961,0.6277445110000001,0.6208244492
818,0.8283460647352777,0.8395904437,0.8111645299,0.8062957338,0.7863413183,0.7981176470999999
819,0.4108627559767094,0.41698473280000004,0.390625,0.3284502699,0.2699077955,0.3194122196
901,0.8650659573621133,0.8750765462000001,0.8700183936,0.8917360665999999,0.9093769666,0.8937793426999999
902,0.8538535491550909,0.8618294665,0.8773025289,0.8957510662,0.9161397170000001,0.9118574582
903,0.9245311257422436,0.9342403628,0.9381132075,0.963661775,0.9816581070999999,0.9784511785
1001,0.8228357080634596,0.8361400189,0.7903282739,0.7538821172,0.7169463087000001,0.7352498745999999
1002,0.819596757954019,0.8312577833,0.8258894777,0.7667995444,0.7719810796,0.7681940701000001
1003,0.8098571732567393,0.8227563548000001,0.8006302868999999,0.8188114028,0.875498008,0.87008
1004,0.8309354640209676,0.8386148318000001,0.8311859926999999,0.8801080715999999,0.8690909091,0.8529788597
1005,0.8196430236528854,0.8258857041,0.9006982157,0.7994963193000001,0.8384873653,0.7795772247
1006,0.7416926800916364,0.7496585365999999,0.7561857632,0.7594167679,0.7784405623999999,0.7837957825
1007,0.7457797533330593,0.7516708437999999,0.7820593809,0.7870350691,0.8153746491,0.8229282381999999
1101,0.6920730558817997,0.7026578073,0.692216782,0.6641081261,0.6929147667000001,0.7183046456000001
1102,0.596788188892985,0.5941080196,0.6599270799,0.7068786726999999,0.6970995386,0.7043245054999999
1103,0.6569469989266242,0.6625451779,0.6714339481,0.6854990584,0.6881095663,0.724889956
1104,0.6607280516170028,0.6615039282,0.7260644289,0.6816645543000001,0.6593724195,0.6796775562
1105.01,0.6161712700840398,0.6179079843,0.698446937,0.6185652264,0.6419098143,0.5561934202000001
1105.02,0.621597494790958,0.6311294766,0.6149204608,0.6319303338000001,0.6779026217,0.7341589862000001
