tract,percent_vehicle_alone_2016,percent_vehicle_alone_2015,percent_vehicle_alone_2014,percent_vehicle_alone_2013,percent_vehicle_alone_2012,percent_vehicle_alone_2011
8049.02,78.92722403345574,79.34900542,80.30981067,78.87811634,81.02487932,81.27836611
8050.01,76.24697256368636,76.71606864,79.25426418,76.33361558,74.29305913,73.91498881
8050.02,77.30801272984851,77.91871602,78.42853001,75.53613979,73.93587617,74.11167513
8051.05,68.4127381083152,68.93121092,67.19867914,66.17438228,64.01918977,64.88590604
8051.06,83.82297896024562,84.51969592,80.07220217,81.91964286,85.5754858,80.51118211
8051.07,79.56042180672766,80.01517835,79.94457042,82.36423478,81.33181559,85.15807963
8051.08,67.2719593636524,67.64951321,66.33533874,67.36359001,65.30898876,67.8694553
8051.09,79.25845256401588,79.74937343,80.16528926,80.68366793,79.77285019,87.11995578
8051.1,83.68781575581478,84.03275333,86.04528699,86.62351672,89.36859147,87.51306165
8051.11,85.71458044306075,86.51717286,86.86734150000001,82.84710967,82.39103362,77.77236169
8051.12,80.78864384104736,81.58795346,78.85791978,78.24696097,76.81426814,77.65814266
8052.01,79.8031687557883,80.5539853,78.46715328,77.94024158,75.97560976,73.76179245
8052.02,78.75509609325856,79.27389706,81.25,78.16831683,77.46212121,79.61751384
8053.01,80.41566977277192,81.03703704,80.40089087,77.74587222,79.59442332,80.73154801
8053.02,78.18964726424564,78.72846108,79.50423216,79.57920792,76.50676507,76.69491525
8054.01,81.99322939945198,82.63646922,81.54798762,81.0324826,81.50728309,84.81411468
8054.02,79.79907097605445,80.00852515,85.37222464,82.20224719,84.55598456,86.28099174
8055.01,69.16917668124724,69.6886947,67.93066089,65.51912568,65.48387097,67.16738197
8055.02,71.3952710247087,71.78899083,69.46107784,71.99001871,72.06875384,69.5516812
8056.0,66.02883603202004,66.2094193,67.09039548,64.08893185,67.51652502,67.95606495
8057.01,72.92457432948873,73.11965812,73.25291181,78.18181818,77.2572402,80.56234719
8057.02,75.39883879797725,75.61497326,79.72819932,80.72805139,77.71618625,77.82217782
8058.01,62.28249304108681,61.97576887,64.07079646,66.17915905,72.88765088,74.95854063
8058.02,74.72901425791459,75.26697992,77.66639936,71.9391635,70.64503669,69.95359629
8059.01,70.36296559814039,70.52863436,71.89814815,71.30559541,73.91528926,71.12046291
8059.02,71.62702803091098,72.14503558,71.67078771,70.27818448,68.06373398,69.824
8060.01,76.10594682119729,76.51139742,79.59053103,80.53830228,74.58386684,72.12020033
8060.02,76.05055161802737,76.33750333,78.72072526,77.67058824,78.78304467,80.32666992
8060.03,67.89009880207364,68.00109679,70.19629527,73.87825093,69.90815775,74.07219115
8060.04,79.36077278562571,80.49058756,78.18772137,71.23325129999999,66.2590328,73.08488613
8061.02,77.70006143401848,78.2328578,75.77586207,80.21885522,78.02241793,80.47722343
8061.03,80.24604061998319,80.74191002,82.56036796,81.76534689,80.17306245,78.32618026
8061.04,75.7204874473482,76.04494382,76.15123606,76.88516511,78.97172237,81.55757286
8062.01,77.1999498800613,78.07321773,73.57910906,73.04638529,70.66848568,75.46251217
8062.02,75.75799477942597,76.10705596,75.82684825,78.99610136,78.24095282,79.23336142
8063.0,78.92190262878024,79.35606061,79.34400625,80.15779093,81.13747954,80.46587658
8064.0,80.10593819925558,80.80424886,78.6113328,77.37226277,78.1383433,78.15275311
8065.01,79.67133126631852,81.26540674,69.76549414,69.55767563,61.10678098,60.82725061
8065.02,77.60104799014013,77.85714286,80.08928571,77.44661922,82.54529386,86.38297872
8066.0,78.62148973800309,78.84089666,81.75182482,81.37196925,84.12335808,81.62393162
8067.0,66.4483572379991,66.60175268,67.41028128,71.04752667,67.72639692,73.27459618
