tract,median_income_2016,median_income_2015,median_income_2014,median_income_2013,median_income_2012,median_income_2011
8053.01,63254.18626985158,63075,58889,66184,63421,63819
8053.02,75653.05492341261,75523,72188,68750,72500,74063
8054.01,75007.30200777421,73304,72892,65750,54261,65000
8054.02,58367.266990753524,58339,54676,53006,53304,55398
8055.01,85168.34813012308,84238,82690,74781,73966,93587
8055.02,105175.8731959527,104044,101389,102500,100089,97143
8056.0,119317.33241935965,119912,109511,106488,114688,111728
8057.01,88243.70587069164,87192,86740,87708,87418,87016
8057.02,118541.95306199731,121875,90132,88472,87339,86758
8058.01,81595.0364025037,80375,80000,86950,82344,99722
8058.02,85430.30892637926,83214,90350,84476,84786,91184
8059.01,74716.35740444918,73309,73713,73220,66912,71894
8059.02,89783.53485925762,89828,84352,80255,85012,85260
8060.01,47268.44426966593,46810,47804,45173,47325,47039
8060.02,53871.28239732976,53244,53429,49583,49231,45455
8060.03,51751.771574524166,51294,50722,51727,51080,54960
8060.04,44821.81783974881,44783,42258,43158,42455,41009
8061.02,77799.62049006579,77208,76146,73188,75972,70313
8061.03,79104.93786738634,78317,78321,73606,76490,76473
8061.04,37402.90233106441,36653,39667,38864,38969,45543
8062.01,53219.92231468208,50804,61205,54407,51862,52681
8062.02,64500.99835356111,62869,65578,59375,53276,54007
8063.0,76471.94077347258,75662,74018,76818,74375,77686
8064.0,67239.7398251352,67763,61458,72083,75000,76250
8065.01,49998.50935720366,49830,49358,46607,50198,46250
8065.02,60485.780940435216,60095,58344,60233,59825,59351
8066.0,67477.36635760123,67436,67096,64395,74054,65795
8067.0,97363.83212506806,97188,96667,106221,119200,114618
8068.01,60395.09845066589,60382,58958,61083,66619,64167
8068.02,79802.47153819326,78714,79438,76270,76557,76950
8069.0,60891.45900252058,59675,62558,62047,60714,60291
8070.0,50044.60875099759,53041,39475,47664,65313,62830
8071.0,107819.13720476083,102589,120991,120833,108583,110804
8072.0,83900.46763907693,82727,82138,82554,79324,79375
8073.0,57298.30741979876,56827,55096,52833,51042,54048
8074.0,53901.83753393018,53333,55385,54786,59051,60179
8075.0,94478.4983710231,94688,82545,82667,75625,72204
8076.0,64726.974741326296,64338,63881,61695,65565,64102
8077.0,52893.795440639165,52832,52527,53175,58938,53395
8078.0,81967.09156367571,81042,77108,76069,68611,74003
8079.0,107554.13260687579,105833,109074,103818,107429,112827
8080.01,100954.48432983053,99012,97238,101250,88219,67500
8080.02,79350.7429872393,78271,77197,79276,75066,73676
8081.0,45279.21607569084,43816,46488,48396,39327,41288
8082.0,65425.71439181271,63438,66524,64654,54196,57703
8083.01,71662.40375869423,70978,70887,68125,70335,70000
8083.02,68522.27514141527,67069,70609,66925,65819,63990
8084.0,78618.35514061742,76845,82240,80880,81490,78675
8085.0,82598.06828383997,81068,81981,81646,76544,75500
8086.0,106039.16635520791,104125,122813,118750,153359,152813
8087.02,65341.05587404626,66071,55865,55000,52917,51534
8088.0,112715.63861452139,109934,113421,116667,106346,99375
8089.0,111957.59883362494,110556,108365,107156,103804,107964
8090.0,127542.79022923061,123924,134375,121193,119688,121058
8091.0,101149.02844383432,101169,93393,102708,103266,108750
8092.0,50941.69038442217,50101,50930,50051,47171,49125
8093.0,20375.146568379645,20814,19206,17686,20313,23802
8094.0,46159.67394335624,46451,43485,42036,45509,45484
8095.0,57832.590306259386,57835,55268,58210,60763,58464
8096.0,69159.75410839691,68011,67443,66851,60735,58469
8097.0,81228.31211239666,80531,80536,79722,83958,73920
8098.0,69285.71679182473,69650,69519,67643,83750,70804
8099.0,106396.93467091145,103194,112892,112642,109092,110263
8100.0,64132.37716772074,61918,70606,62003,61168,60977
8101.0,67682.59491888822,66953,65323,63942,61064,61174
8102.0,56213.925188071604,56661,53355,55123,61991,61722
8103.01,62017.21836441766,61827,61078,59710,65000,69135
8103.02,71655.57731683874,70912,71149,61765,64554,70536
8104.0,85622.25149112858,85691,77436,77328,74914,75208
8105.01,69227.8689067862,69559,65986,55455,64364,55298
8105.02,46805.1765994063,45707,47955,52598,47750,53446
8106.0,48763.069620688126,48647,47664,43850,46868,55491
8107.01,45882.01474340015,46552,39635,45347,44563,43500
8107.02,49248.553848421885,48918,46621,48113,44801,45559
8108.0,68383.27898360147,67346,69792,72474,74063,73165
8109.0,48049.521632099204,47394,51696,46180,53375,53400
8110.0,82423.5853824302,81162,80236,83606,77760,77936
8111.0,40738.28192082536,40951,38036,40310,41174,40143
8112.0,58325.74847877629,58500,55529,55625,60086,54872
8113.01,60727.65919981601,60000,61466,61131,63424,61204
8113.02,38973.02751415341,37996,41250,40000,37875,34063
8114.01,57085.60784028064,57011,54456,52155,54028,52010
8114.02,54572.486082453106,54417,54063,51531,56591,58667
8115.0,67207.95342423217,65759,68600,65822,62836,62105
8116.0,41897.079324521685,41656,42152,37959,40969,46934
8117.01,50458.02036663985,50211,47917,45337,43892,46208
8117.02,49208.60723486665,47500,56250,55000,57176,55394
8118.0,74649.97666914294,73516,73864,63477,61858,62000
8119.0,112186.24986053846,108533,125083,136471,141927,152431
8120.0,98211.05324014665,96162,101818,97669,99792,94572
8121.0,95424.11213805222,97250,76064,73188,69210,77857
8122.0,208194.0539349235,205380,200341,168750,164598,170208
8123.01,68997.53044471615,67901,67905,65793,61789,59758
8123.02,115255.47722494857,116607,103250,94583,106447,89286
8124.0,182729.44728619576,180268,171000,178214,159800,165880
8125.0,51765.93883449678,50927,55069,56865,61250,64519
8126.0,56912.48606372543,56181,55595,56583,53274,53789
8127.0,67712.53729431913,66302,69219,71429,68750,62000
8128.01,44315.73937258506,43917,43189,44688,42763,45110
8128.02,59026.78919397161,55750,63611,71901,51518,54965
8129.0,83440.19534940706,83281,82302,97414,105848,94741
8130.0,87173.0604589261,86250,86196,82679,85278,94974
8131.0,84816.85956622196,83690,80304,77544,69315,65974
8132.0,94335.43585160845,92393,98205,92992,96167,93457
8133.01,33477.153599605095,33750,31519,37353,38537,38714
8133.02,41903.80885286462,41280,42232,38279,36938,37188
8134.0,41715.58773649895,42045,39903,45648,49716,49295
8135.0,52984.57336898411,52212,52463,52227,49421,57656
8136.0,45753.4271752846,45530,43494,43723,41810,41183
8137.01,39254.80744075756,38177,43457,45125,45840,45017
8137.02,35268.37960277687,35905,36885,37760,52037,58218
8138.01,45213.076192822075,44868,42951,39375,36296,52611
8138.02,41046.50193112785,40457,40292,42604,38431,37109
8139.0,39629.86863344875,39435,40957,40884,45864,45588
8140.0,53221.4436919721,52602,53333,52083,52632,48125
8141.0,35658.88030944646,35625,35938,35187,38897,31913
8142.0,36355.99552804763,36646,35554,38869,43730,43293
8143.0,39672.485547883756,40417,34494,44238,44853,44052
8144.0,44141.23442552082,42471,50104,54303,52822,47474
8145.0,60028.76648966463,59327,59375,55000,54773,45833
8146.0,52356.284595348014,51611,52482,55638,54091,51474
8147.0,59797.23670244189,60074,52763,51285,48077,47525
8148.0,68668.93416295214,68333,64282,57188,55258,64536
8149.0,49112.03055929167,50172,42004,40179,43581,40801
8150.0,46775.65251576165,46374,46580,43523,44655,46458
8151.0,51225.33456265416,51552,47188,43918,46141,44600
8152.0,55157.09959906089,54282,52128,53813,44560,50202
8153.0,64123.30696231333,63043,66058,65843,67411,70642
8154.0,69374.7083404178,68046,68049,60000,53453,51283
8155.0,65353.45278441196,65313,58609,61090,55669,52829
8156.0,59727.470943486274,60885,52568,47679,54861,53365
8157.01,105762.45362672041,105156,101071,94375,97064,88750
8157.02,77627.15816068038,76250,85759,70074,86550,85481
8158.0,80941.31117504768,80395,80625,81389,88000,85433
8159.0,44262.251735115045,43812,44578,44367,45191,47092
8160.0,58562.349275814115,58052,55734,55909,52315,50256
8161.0,56508.07496297445,56040,55160,56136,55758,55417
8162.0,48080.95147263179,48796,40735,46250,44089,42957
8163.0,58921.77575481273,58466,58324,51581,54353,57609
8164.01,45499.66746183492,45675,42983,38967,41541,40078
8164.02,42515.86106398207,41587,45000,51622,50524,48032
8165.0,40471.20460434875,39274,43884,41927,40147,38523
8166.0,35442.32785249602,35434,37056,38732,45394,45430
8167.0,51411.33319250188,50682,52204,51333,51645,47786
8168.0,59771.20494060932,58750,61841,60020,61747,58843
8169.0,54672.99796674601,53777,57674,52961,57344,56467
8170.0,54558.92703693584,53625,56159,53343,53962,57941
8171.01,37698.421768701985,38369,36796,37000,46731,51250
8171.02,53714.00303071505,53429,52384,53125,54318,56832
8172.0,36893.645173293626,36976,36111,35611,38594,40000
8173.0,30742.874660766756,29625,37328,31914,36204,43147
8174.0,53525.06435550646,53480,54665,55469,64889,64485
8175.0,26172.98852881213,24896,31319,33273,30709,35386
