tract,percent_vacant_2016,percent_vacant_2015,percent_vacant_2014,percent_vacant_2013,percent_vacant_2012,percent_vacant_2011
4307.0,13.649085281083053,14.1,13.7,11.2,12.6,11.5
4308.0,14.833527615785906,14.8,14.4,16.0,11.6,9.8
4309.0,20.6902366603872,21.2,21.4,19.7,17.5,22.8
4312.0,13.23593086502691,13.6,12.8,15.5,14.5,17.1
4313.01,37.60151726463383,39.9,34.7,34.8,38.6,32.4
4313.02,31.755726400875723,34.4,39.4,40.8,45.7,43.6
4314.0,19.18091483346855,19.9,23.0,21.3,20.3,24.7
4401.01,30.48772106047838,31.3,33.6,35.8,28.6,27.4
4401.02,22.986889358870933,23.4,24.3,19.4,16.4,16.2
4402.01,19.56098623979947,20.3,20.1,21.8,20.6,17.3
4402.02,10.160305240279719,11.1,12.6,15.0,19.0,18.5
4403.0,12.34744528846094,12.3,14.9,9.9,8.2,7.4
4406.0,7.455690828304779,8.1,8.3,10.6,14.3,12.1
4407.0,5.709445590440062,5.9,10.6,11.6,11.7,15.0
4408.0,18.232215604919965,18.8,17.8,11.4,13.2,13.8
4409.0,17.727769138305682,18.5,20.2,27.9,24.7,22.6
4503.0,11.687861138450716,11.6,9.8,8.4,6.9,6.6
4601.0,28.579810009445218,29.6,29.8,27.2,25.2,23.2
4602.0,26.06920474613547,28.1,31.1,33.4,37.0,32.1
4603.01,29.543582324558315,31.1,35.1,26.2,28.8,27.3
4603.02,27.43276328904841,28.7,30.0,31.0,29.5,22.6
4604.0,24.07465475355042,25.2,25.9,22.1,23.4,20.1
4605.0,18.962275896901417,19.2,20.3,19.9,15.7,12.6
4606.0,26.58554968502682,27.0,20.6,19.0,15.6,11.3
4607.0,36.321056285348185,37.7,33.7,36.4,32.6,25.8
4610.0,15.64267441900824,16.6,9.2,9.7,15.2,19.1
4701.0,30.351147496448043,30.5,28.0,24.3,16.5,13.0
4801.0,7.706097171135052,7.5,8.7,8.5,6.5,4.1
4802.0,14.054897587931427,14.2,12.6,8.4,8.5,1.7
4803.0,18.6103637343585,18.4,21.2,18.5,11.5,7.1
4804.0,6.386669150692161,6.2,6.1,5.6,5.0,4.1
4805.0,13.951828519659555,14.8,15.9,16.1,18.6,20.4
4903.0,13.367106473201575,13.6,12.9,9.8,10.1,9.4
4904.0,22.879814125882547,22.2,18.2,15.7,5.6,0.0
4905.0,7.603563760218947,8.1,5.7,6.8,10.8,10.3
4906.0,16.69772248768593,17.0,11.7,7.3,8.7,14.9
4907.0,17.81653954406641,17.7,16.4,16.9,11.2,10.1
4908.0,11.620299825477781,11.6,14.1,14.0,10.9,8.7
4909.01,17.002880970636994,17.6,12.8,16.8,16.6,18.7
4909.02,12.0037384965456,12.1,14.4,11.2,10.1,6.9
4910.0,30.915475870954147,32.6,27.2,31.2,32.3,29.6
4911.0,9.302745849789515,9.0,12.3,9.7,6.4,5.2
4912.0,14.009474816142736,13.6,7.8,4.4,1.7,3.5
4913.0,36.00806780361337,36.6,29.5,30.6,23.0,19.5
4914.0,28.204300737278373,29.4,26.6,24.7,25.0,26.0
5001.0,7.678972799473709,8.0,7.1,11.2,12.1,11.1
5002.0,19.093000810533006,20.5,20.4,19.6,24.5,21.0
5003.0,25.003236758636582,24.9,22.3,18.2,11.4,9.7
5101.0,18.91249833932796,19.0,12.4,18.6,13.5,11.8
5102.0,7.740904667514352,7.5,12.7,9.9,7.2,8.3
5103.0,11.985373704930376,11.6,11.0,8.2,4.5,4.5
5201.0,17.830824462130572,19.2,20.8,16.6,22.6,28.9
5202.0,18.619646193109986,19.2,22.4,24.2,21.0,18.9
5203.0,11.365681422535802,11.6,11.1,8.8,9.7,7.8
5204.0,12.810440061959811,13.1,16.3,16.0,14.4,12.5
5205.0,6.650053356269352,6.7,7.6,8.4,8.5,7.1
5206.0,5.116264242860322,4.5,4.0,2.6,0.0,1.3
5301.0,24.40637156040591,25.0,23.9,22.1,19.2,15.2
5302.0,31.500471410296228,33.7,31.3,30.3,35.8,32.9
5303.0,10.072547270763202,10.1,10.5,15.3,12.1,9.9
5304.0,12.233040965807044,12.8,13.9,15.8,16.4,15.1
5305.01,23.15014386935924,24.1,19.3,20.7,21.1,21.5
5305.02,15.77363016034994,16.4,19.1,19.5,18.8,25.7
5305.03,9.30643582933322,9.8,12.4,10.5,13.0,9.1
5306.0,19.174068767331583,19.4,19.1,20.0,15.6,13.2
5401.01,35.24075279969059,37.5,37.4,40.9,42.3,48.3
5401.02,19.098228728789586,19.4,18.5,16.0,13.8,18.4
5501.0,9.712654195475347,9.8,10.6,10.9,10.0,15.5
5502.0,9.340410352716303,9.3,5.3,4.7,5.2,5.5
5601.0,10.335094834460422,9.9,9.6,6.9,3.5,11.3
5602.0,12.071293101329255,13.6,27.4,28.8,32.0,37.6
5603.0,3.195867116848352,2.9,3.6,3.3,3.1,2.9
5604.0,8.656544895327908,8.4,8.8,13.9,9.2,16.3
5607.0,9.836284456444854,9.8,11.0,9.3,8.1,7.4
5608.0,1.9240061954409697,1.6,2.9,2.6,2.6,3.0
5609.0,5.101265976276283,4.7,3.6,2.7,1.7,4.0
5610.0,0.7772032583297921,0.7,1.6,4.3,5.6,6.8
5611.0,3.7982377429053042,3.4,2.3,2.3,1.6,0.6
5701.0,9.482923574463243,10.0,6.8,5.0,9.7,8.7
5702.0,7.353975368291572,7.7,10.9,9.4,11.4,14.7
5703.0,11.247340403498225,11.6,7.9,10.3,11.4,10.3
5704.0,8.78834559622725,9.9,6.2,12.7,18.9,29.0
5705.0,5.6695317152264755,5.6,3.5,5.1,5.6,5.8
5801.0,10.800047555352686,12.0,15.0,13.3,20.0,18.0
5802.0,20.73703202961918,21.1,20.7,19.8,16.4,14.7
5803.0,11.6169561061819,12.5,13.5,20.2,21.5,21.7
5804.0,10.589882224345931,11.7,11.5,14.8,20.1,18.9
5805.01,14.961906240232286,15.6,19.3,16.3,17.1,17.8
5805.02,18.847336213940515,19.2,18.4,15.8,14.1,9.8
5806.0,11.4542147571051,11.8,12.5,11.0,11.9,10.3
5807.0,11.139474429470667,11.9,13.7,12.4,16.0,15.6
5808.0,8.445561974433765,9.2,10.9,15.8,18.2,16.5
5905.0,8.12937282208084,8.1,10.7,8.2,7.7,10.2
5906.0,8.645384996558091,8.4,9.8,11.5,7.9,10.2
5907.0,8.310995474439727,8.3,8.8,9.8,8.7,10.7
6004.0,2.1190250380935893,2.5,4.0,10.3,12.6,14.5
6006.0,9.425622298592353,10.1,12.1,19.5,19.7,24.4
6007.0,14.03783515483258,14.6,17.1,17.9,17.5,17.3
6009.0,13.345125973614957,14.4,13.9,15.1,19.6,22.0
6103.0,18.600220683168487,19.6,23.2,23.6,23.9,22.3
6104.0,16.244267513278523,17.3,22.1,29.2,27.9,24.0
6108.0,13.223941036471333,13.9,15.1,13.0,15.5,15.1
6110.0,23.51717468150177,24.6,17.5,28.1,26.4,31.3
6111.0,21.960234769219575,23.6,24.0,25.9,29.8,29.6
6112.0,21.55572015819257,22.4,23.7,23.5,22.3,20.0
6113.0,21.640773951656087,22.8,24.2,27.5,27.1,25.7
6114.0,24.426367683198066,25.2,24.1,23.3,21.3,19.6
6115.0,19.518462478365734,20.2,20.8,25.7,22.5,19.6
6116.0,25.018026269075193,26.4,33.2,32.7,31.8,30.6
6117.0,37.77908591559723,40.7,44.5,50.3,52.9,48.2
6118.0,26.57907425030217,27.3,27.7,28.6,23.9,22.1
6119.0,32.742926596147164,34.1,36.4,34.6,31.9,30.2
6120.0,37.65867089309871,39.3,33.9,30.9,31.2,28.6
6121.0,34.68884443168013,36.0,38.7,30.4,28.9,22.2
6201.0,5.028336570332907,4.7,2.9,0.6,1.0,3.5
6202.0,7.034794109697002,7.6,7.7,10.9,13.9,19.8
6203.0,3.7980855292467606,3.5,4.9,5.4,4.3,4.0
6204.0,8.825383208389535,8.7,9.9,9.3,7.5,10.0
6301.0,13.935120535568041,13.3,8.6,10.3,3.5,0.0
6302.0,8.29441352596508,8.0,6.5,7.2,4.9,9.5
6303.0,11.835275796691057,12.2,16.7,12.1,12.8,16.6
6304.0,6.000147581472139,6.0,9.0,9.0,8.6,8.7
6305.0,12.043857037943535,12.3,11.1,12.2,11.8,17.5
6308.0,6.367848861294383,6.2,5.4,5.9,5.3,4.3
6309.0,4.928617933451126,5.4,10.5,13.2,14.9,19.1
6401.0,11.962883559529242,11.7,11.4,10.8,7.0,10.8
6403.0,6.48617353533148,6.6,7.5,6.7,8.0,6.4
6404.0,1.3232818978571341,0.8,0.8,0.8,0.0,0.7
