tract,percent_wealthy_2016,percent_wealthy_2015,percent_wealthy_2014,percent_wealthy_2013,percent_wealthy_2012,percent_wealthy_2011
3011,,0.053,0.055,0.0380,0.027,0.032
3012,,0.033,0.027,0.0000,0.014,0.043
3016,,0.040,0.054,0.0500,0.058,0.060
3017.01,,0.106,0.101,0.0790,0.080,0.100
3017.02,,0.060,0.031,0.0340,0.016,0.014
3018.01,,0.069,0.030,0.0280,0.013,0.031
3018.02,,0.033,0.030,0.0330,0.026,0.014
3018.03,,0.022,0.027,0.0240,0.050,0.046
3102,,0.223,0.196,0.1560,0.189,0.144
3103,,0.116,0.222,0.2720,0.256,0.192
3104,,0.116,0.103,0.0650,0.062,0.052
3105,,0.076,0.053,0.0560,0.047,0.084
3106,,0.064,0.073,0.0730,0.075,0.049
3107,,0.038,0.054,0.0610,0.071,0.061
3108,,0.054,0.039,0.0440,0.043,0.059
3109,,0.060,0.060,0.0470,0.054,0.063
3201,,0.363,0.367,0.3640,0.292,0.310
3204,,0.202,0.220,0.1970,0.183,0.153
3206,,0.259,0.220,0.1730,0.135,0.179
3301,,0.282,0.247,0.2540,0.236,0.268
3302,,0.225,0.221,0.2510,0.234,0.252
3403,,0.115,0.119,0.1500,0.098,0.115
3404,,0.056,0.036,0.0430,0.034,0.102
3405,,0.129,0.102,0.0590,0.049,0.053
3406,,0.022,0.000,0.0000,0.000,0.000
3501,,0.034,0.046,0.0180,0.063,0.094
3504,,0.000,0.000,0.0000,0.000,0.000
3510,,0.095,0.097,0.0800,0.057,0.047
3511,,0.000,0.000,0.0000,0.000,0.000
3514,,0.046,0.049,0.0420,0.017,0.012
3515,,0.131,0.144,0.1750,0.088,0.059
3602,,0.017,0.016,0.0220,0.007,0.000
3801,,0.124,0.154,0.1620,0.178,0.102
3802,,0.085,0.055,0.0290,0.029,0.027
3805,,0.133,0.178,0.1040,0.072,0.000
3807,,0.042,0.049,0.0650,0.094,0.108
3812,,0.068,0.101,0.0960,0.092,0.084
3814,,0.018,0.016,0.0360,0.045,0.056
3815,,0.091,0.086,0.0000,0.000,0.000
3817,,0.000,0.000,0.0000,0.0000,0.0000
3818,,0.097,0.067,0.0210,0.046,0.027
3819,,0.123,0.106,0.1450,0.059,0.051
3901,,0.220,0.174,0.1120,0.109,0.090
3902,,0.223,0.241,0.1940,0.188,0.289
3903,,0.078,0.084,0.0580,0.064,0.055
3904,,0.069,0.042,0.0640,0.057,0.063
3905,,0.119,0.151,0.1660,0.165,0.206
3906,,0.147,0.174,0.1450,0.176,0.217
3907,,0.177,0.173,0.1490,0.138,0.116
4003,,0.078,0.101,0.1050,0.119,0.131
4004,,0.027,0.019,0.0120,0.081,0.064
4005,,0.066,0.059,0.0650,0.068,0.027
4008,,0.000,0.000,0.0000,0.000,0.000
4101,,0.125,0.112,0.0570,0.130,0.119
4102,,0.077,0.125,0.0870,0.096,0.064
4105,,0.177,0.141,0.1280,0.155,0.157
4106,,0.120,0.140,0.1560,0.121,0.103
4107,,0.085,0.072,0.1100,0.105,0.106
4108,,0.124,0.113,0.0740,0.082,0.081
4109,,0.135,0.145,0.1630,0.176,0.152
4110,,0.204,0.193,0.1880,0.170,0.140
4111,,0.280,0.316,0.2960,0.265,0.256
4112,,0.192,0.184,0.1610,0.170,0.204
4201,,0.055,0.030,0.0210,0.026,0.052
4202,,0.065,0.045,0.038,0.069,0.060
4203,,0.064,0.083,0.129,0.189,0.213
4204,,0.040,0.090,0.200,0.150,0.122
4205,,0.015,0.013,0.000,0.000,0.000
4206,,0.023,0.015,0.000,0.015,0.124
4207,,0.028,0.036,0.057,0.046,0.076
4208,,0.050,0.077,0.065,0.094,0.095
4212,,0.129,0.118,0.113,0.078,0.025
4301.01,,0.061,0.057,0.093,0.061,0.062
4301.02,,0.032,0.032,0.068,0.038,0.008
4302,,0.056,0.043,0.030,0.041,0.037
4303,,0.063,0.060,0.117,0.148,0.125
4304,,0.060,0.046,0.045,0.089,0.042
4305,,0.053,0.049,0.035,0.035,0.034
4306,,0.138,0.130,0.127,0.120,0.095
4307,,0.043,0.056,0.078,0.061,0.065
4308,,0.088,0.118,0.176,0.143,0.148
4309,,0.048,0.062,0.122,0.143,0.083
4312,,0.089,0.064,0.071,0.080,0.194
4313.01,,0.017,0.028,0.049,0.012,0.078
4313.02,,0.074,0.056,0.064,0.065,0.057
4314,,0.070,0.061,0.081,0.050,0.040
4401.01,,0.036,0.035,0.022,0.018,0.029
4401.02,,0.005,0.032,0.018,0.026,0.029
4402.01,,0.035,0.048,0.060,0.056,0.063
4402.02,,0.108,0.102,0.087,0.080,0.048
4403,,0.154,0.163,0.140,0.116,0.134
4406,,0.171,0.198,0.204,0.202,0.214
4407,,0.132,0.150,0.147,0.133,0.152
4408,,0.024,0.026,0.042,0.078,0.078
4409,,0.116,0.122,0.108,0.108,0.128
4503,,0.182,0.180,0.184,0.173,0.130
4601,,0.041,0.078,0.054,0.046,0.066
4602,,0.101,0.082,0.038,0.003,0.000
4603.01,,0.078,0.057,0.054,0.033,0.013
4603.02,,0.057,0.058,0.070,0.066,0.073
4604,,0.148,0.120,0.099,0.123,0.105
4605,,0.080,0.089,0.108,0.179,0.192
4606,,0.039,0.044,0.041,0.054,0.024
4607,,0.000,0.000,0.000,0.000,0.000
4610,,0.020,0.019,0.012,0.026,0.028
4701,,0.107,0.083,0.032,0.047,0.089
4801,,0.151,0.189,0.152,0.116,0.140
4802,,0.057,0.097,0.140,0.156,0.147
4803,,0.195,0.143,0.110,0.098,0.059
4804,,0.196,0.202,0.227,0.238,0.254
4805,,0.118,0.111,0.098,0.123,0.168
4903,,0.171,0.170,0.141,0.120,0.145
4904,,0.191,0.173,0.176,0.168,0.150
4905,,0.092,0.070,0.062,0.117,0.125
4906,,0.167,0.120,0.085,0.090,0.116
4907,,0.077,0.064,0.070,0.088,0.062
4908,,0.123,0.084,0.113,0.131,0.126
