tract,median_income_2016,median_income_2015,median_income_2014,median_income_2013,median_income_2012,median_income_2011
6301,,28621,30833,40600,41806,50884
6302,,27468,31023,29009,30729,48958
6303,,45531,43295,41314,40750,40088
6304,,30902,31158,31535,32886,32554
6305,,39561,38520,38039,39844,39097
6308,,42008,37482,34975,34300,40136
6309,,45441,40313,37272,38967,38750
6401,,47500,49080,43281,36689,43958
6403,,68483,67190,63900,55952,55385
6404,,74583,76840,72781,66042,60833
6405,,68460,59722,63125,61600,54505
6406,,36274,42431,45536,45391,47364
6407,,58200,54659,59006,59162,57716
6408,,46724,52337,50663,52348,56400
6501,,43125,43250,43567,41332,41480
6502,,48298,46605,45505,53171,50192
6503.01,,60885,58485,58056,56339,52596
6503.02,,47042,50771,50530,49705,50909
6504,,51039,47423,46030,44679,44883
6505,,57625,52500,47321,44915,52222
6603.01,,22083,23788,25385,28083,27364
6603.02,,34810,40245,40619,38859,38478
6604,,43609,37481,36849,35259,35617
6605,,37418,39759,40214,39750,42500
6606,,29071,27358,32109,33787,35982
6607,,30800,31406,27012,25742,27070
6608,,35730,35538,37143,32289,36316
6609,,28634,28068,31888,31136,31685
6610,,30218,29806,31313,35234,36964
6611,,47588,43770,44574,45067,50441
6701,,29353,29963,36442,33026,34063
6702,,23438,19483,20972,24152,19402
6703,,38510,31667,33625,21394,21008
6704,,21471,25625,30345,36250,31824
6705,,26875,28686,28514,27443,26686
6706,,26250,25769,25383,31033,30685
6707,,25905,22813,25987,23108,25417
6708,,18882,20833,21757,28250,24792
6709,,26103,37566,27986,34167,32361
6711,,25625,24167,18880,19652,22578
6712,,19837,20950,27869,27275,29200
6713,,33158,31897,30130,29265,26472
6714,,28922,26364,33816,35938,38170
6715,,23656,23443,22957,23919,28092
6716,,24914,21364,20833,19766,21250
6718,,29353,25149,23409,19915,18209
6719,,49167,45781,41607,42969,35500
6720,,40646,41635,36978,35247,35308
6805,,19321,20273,20764,21364,24318
6806,,23029,18375,15227,14676,14085
6809,,13733,15196,15900,16586,15042
6810,,14474,13512,14297,20060,20573
6811,,18774,20638,22267,24566,30409
6812,,21103,19279,17600,15110,17884
6813,,23425,19453,21434,22424,21250
6814,,36117,25031,25040,21701,25313
6903,,17391,18419,20469,19667,19125
6904,,25000,22339,21239,24960,24853
6905,,28500,39563,37976,26453,31406
6909,,30886,25647,34096,33490,34267
6910,,50536,50191,42118,40507,35469
6911,,23056,19816,21250,23200,23350
6912,,27258,27244,27148,31875,31680
6913,,35000,38620,48125,44083,47578
6914,,28605,28232,33298,38808,41346
6915,,23438,21638,24957,30565,30139
7001,,53882,63333,64681,56131,54353
7002,,49020,51875,57083,58381,59474
7003.01,,53254,61284,47292,51141,44972
7003.02,,57413,64423,66860,62269,57554
7004.01,,70455,70703,72656,73949,64753
7004.02,,67212,68194,73276,82599,73250
7005.01,,69938,72765,75087,81848,80000
7005.02,,85833,78380,75366,76384,80096
7101,,14913,11696,12969,13679,13917
7102,,24688,23924,22644,23217,23430
7103,,23676,23990,24403,23810,23418
7104,,30425,37442,32663,33650,37500
7105,,26217,28777,25307,27038,32956
7106,,26250,22500,22692,20640,21841
7107,,24127,26221,26053,27679,29891
7108,,37883,42566,42967,37173,35761
7109,,20698,20281,20558,24152,37679
7110,,30286,29189,30688,32898,37222
7111,,36451,36270,30733,26424,28750
7112,,40231,41438,43405,45304,49536
7113,,41518,47500,45551,37625,26316
7114,,33125,28952,30078,35885,37476
7115,,29500,38071,43945,37435,47958
7201,,100357,122917,123462,124435,121659
7202,,65758,68906,69813,69701,73507
7203,,107837,115523,108029,97996,95933
7204,,86906,96034,96087,94440,93933
7205,,100938,99118,92596,89000,88885
7206,,113920,113261,112321,106957,103250
7207,,59038,64103,71833,63750,59091
7301,,48226,41154,36597,34931,34815
7302.01,,32623,31323,32238,33913,35620
7302.02,,45862,42610,39338,45322,42775
7303,,43516,41389,47647,46667,41510
7304,,53427,51442,53142,50294,49879
7305,,51250,48815,48047,41894,44798
7306,,49732,43244,43565,55511,54265
7307,,43309,42628,41739,42042,40558
7401,,86746,87074,83472,81151,76875
7402,,92764,97988,97557,97824,92586
7403,,94583,86406,85313,87268,84375
7404,,80765,82673,73984,80912,77813
7501,,40000,47782,46192,44868,42925
7502,,60403,65972,63523,60833,63750
7503,,86176,82845,82287,81607,78944
7504,,84400,84375,90125,79808,83324
7505,,55128,52679,51250,49358,45787
7506,,44383,44304,43113,43450,42063
7608.01,,48617,43638,47950,49397,44944
7608.02,,52344,46434,42159,50288,50605
7608.03,,41481,41132,40897,40722,44629
7702.01,,52455,56667,51549,60650,57078
7702.02,,51213,51300,54000,57137,60781
7703,,71742,64314,63734,61130,61677
7704,,57123,55883,55293,52629,54414
7705,,43634,44618,40719,37545,38271
7706.01,,64309,65273,78000,82326,90481
7706.02,,60132,57545,57935,59563,48468
7707,,49604,47589,46048,42344,45183
7708,,57528,49625,46875,42468,49609
7709.01,,56719,55032,49350,49806,47489
