tract,percent_percent_walked_2016,percent_percent_walked_2015,percent_percent_walked_2014,percent_percent_walked_2013,percent_percent_walked_2012,percent_percent_walked_2011
1706,,1.834130781,1.355661882,0.957701516,3.761242845,3.71835443
1707,,4.524886878,2.979066023,4.721362229,4.253882512,1.862197393
1708,,4.564315353,2.954292085,5.868680999,4.350250976,4.500865551
1709,,3.253796095,1.227678571,3.589108911,2.521008403,5.286839145
1710,,5.342923195,3.719635628,4.291732491,6.450749465,4.64527027
1711,,4.901960784,3.820524211,2.783819052,2.955236854,4.131847725
1801,,2.536764706,1.662799691,2.49897583,2.175732218,4.049949376
1901,,5.531167691,6.507791017,6.882911392,6.858924396,8.737024221
1902,,8.835672998,5.766819891,5.504218562,3.219149814,5.325218714
1903,,8.111070515,6.165413534,5.241771638,4.72,2.771362587
1904.01,,9.157064888,2.808988764,3.18627451,5.029239766,5.625657203
1904.02,,4.9200492,4.085801839,3.591299949,1.576805697,2.324521422
1906.01,,16.27670397,10.75433231,6.755319149,6.733828208,3.389830508
1906.02,,10.78286558,10.14370245,4.989384289,6.709608159,7.204433498
1907.01,,6.293706294,5.930138099,5.807002562,6.255355613,6.56877898
1907.02,,5.235371755,4.445422535,3.479078514,4.992511233,4.37105391
1908,,6.729264476,6.860789789,5.103969754,4.252252252,5.049855259
1909,,3.473684211,2.458100559,10.31128405,14.45198836,16.06096131
1910,,8.629893238,8.888888889,8.928571429,10.44334975,14.12429379
1911,,1.373283396,1.075619296,1.925060158,5.706521739,5.869764598
1912,,13.34180432,7.807620237,7.483492296,4.232081911,7.271364318
1913.01,,13.59411309,12.8468263,7.6709062,5.357142857,2.426739927
1913.02,,6.578366446,7.292759706,7.019381875,6.973995272,8.637873754
2001,,9.137489325,8.794788274,6.814814815,7.787325456,9.61430967
2002,,7.69591741,5.253704535,5.163511188,4.480570975,6.515693286
2003,,10.36639857,9.665763324,5.973025048,5.747126437,6.584821429
2004.01,,8.760806916,7.746478873,8.440797186,6.900584795,7.458048477
2004.02,,10.58052434,10.51546392,8.700629651,6.469920545,3.822714681
2101,,10.53952321,14.81481481,14.76377953,12.66375546,12.71820449
2104,,8.545727136,9.604904632,9.181494662,6.866416979,6.37755102
2105.01,,11.12145184,8.020882772,8.441247002,9.285389167,8.389112004
2105.02,,10.37107517,7.88973384,8.998144712,9.042553191,6.396396396
2106.01,,6.918641896,9.601449275,7.087053571,7.729994556,8.347725964
2106.02,,11.28597122,11.47923472,12.9241517,11.87943262,10.76267906
2107,,17.22027972,17.92083515,15.00809061,14.21398223,9.496284063
2108,,16.95721078,23.75690608,21.55477032,19.45773525,12.67361111
2109,,10.3626943,11.13772455,12.21227621,12.55465334,10.94287681
2203,,15.91511936,14.16613007,17.89772727,10.07604563,11.37508999
2204,,12.07332491,11.6966581,11.39240506,12.61783901,12.36476043
2205,,17.15367965,17.93062904,17.284689,13.40206186,10.85409253
2206.01,,11.02272727,15.25423729,12.48484848,11.53305204,8.605664488
2206.02,,15.82134746,15.9679878,11.33510841,7.884267631,8.876364917
2207.01,,8.923076923,14.05502392,16.07611549,13.25611326,16.64355062
2207.02,,12.97093649,10.54564533,8.493427705,8.422026839,3.013561025
2209.01,,9.661835749,7.935222672,3.486394558,5.318404479,7.670454545
2209.02,,9.217171717,7.091346154,6.361686919,9.61158657,13.17934783
2210,,10.20848311,11.41340411,16.19179986,17.94871795,16.70663469
2211,,19.34321185,16.89950428,19.35756551,17.5787728,16.90973591
2212,,15.26147279,15.2386429,14.11392405,13.65576102,12.60053619
2213,,20.72748268,19.43779904,18.51145038,19.66329966,16.79636835
2214,,14.34447301,13.2412205,14.42505133,16.2070906,12.75362319
2215,,18.36998706,18.55807744,18.67995019,16.70588235,14.4856969
2216,,11.43756558,14.87730061,16.56184486,19.27216812,17.72020725
2222,,16.52542373,13.95348837,9.125475285,11.80400891,12.29260935
2225,,9.126984127,11.37566138,11.65048544,10.63040791,11.67630058
2226,,20.83739046,21.30434783,21.069869,19.08893709,22
2227,,18.00291545,20.78220859,11.66982922,14.63963964,8.026440038
2228,,16.75,13.13432836,8.955223881,7.142857143,17.07317073
2229,,13.03370787,11.00244499,16.47597254,16.81735986,12.7340824
2301,,22.83464567,24.25032595,22.33502538,23.06547619,18.38565022
2302,,5.896226415,8.748481166,10.19607843,11.19402985,10.40787623
2303,,21.19047619,22.22222222,23.41356674,23.72505543,28.13370474
2304,,11.2024666,20.85402185,22.51585624,22.02202202,21.66301969
2305,,12.04819277,14.75644699,18.08118081,15.3643547,18.70781099
2306,,9.948381042,10.11787819,10.9739369,9.198209198,11.57258065
2307,,9.099481377,9.513852588,9.984794729,7.959697733,8.19828408
2308,,7.210626186,5.439330544,4.418604651,13.49862259,15.38461538
2309,,11.69188446,14.37155734,17.98561151,14.93506494,13.49129594
2311,,24.87179487,21.2195122,27.4691358,22.71468144,4.069767442
2312,,9.875846501,8.839406208,9.280742459,7.545887152,5.982367758
2315,,15.22678186,15.83434836,19.22544952,19.42446043,15.79335793
2402,,15.5,17.03940362,15.710254,14.15356152,7.530120482
2403,,14.84375,16.45021645,14.31693989,12.9587156,14.7942158
2405,,9.838032394,8.631826189,9.336465062,9.964622642,5.419892793
2406,,12.83482143,13.15496098,11.07142857,9.57309185,9.656084656
2407,,10.40100251,9.029649596,6.403415155,6.165228113,5.740987984
2408,,17.70700637,15.55555556,15.28189911,23.38593974,29.50236967
2409,,12.88135593,11.57894737,8.154506438,18.29896907,17.31843575
2410,,17.39130435,15.16533637,15.75418994,16.13545817,17.80104712
2411,,23.24961948,23.43553129,23.59947067,20.76887014,19.20187793
2412,,21.27659574,30.17009848,32.02247191,31.46687697,30.55954089
2413,,15.93137255,20.836966,16.75126904,20.67268253,19.85624438
2414,,19.16562108,12.99627792,12.91358818,14.49324324,22.96958855
2415,,18.18584071,17.77081468,18.5424752,19.5631529,16.27906977
2416,,23.33585477,18.1498829,19.02689873,19.28353659,15.95705294
2420,,16.00529101,16.71501088,14.4108629,12.72141707,13.60363774
2421,,17.12514529,18.24968893,17.19314079,15.09983361,17.54240794
2422,,15.80392157,19.6039604,20.36900369,18.2699478,22.98113208
2423,,25.39546815,27.56152125,23.55828221,24.03041825,25.40339264
2424,,24.46153846,21.50866463,20.27720739,23.10361924,21.25984252
2425,,19.88434164,18.87401938,15.50925926,16.64348632,20
2426,,14.82747902,14.34171839,11.78751454,14.03572731,18.14398668
2427,,18.55921856,15.4040404,17.21763085,12.70072993,6.629834254
2428,,17.62237762,12.21374046,9.438470729,16.85649203,25.50790068
2429,,21.35655362,22.9020979,22.29938272,22.69712601,26.15131579
2430,,18.78078818,17.60052736,13.2176235,10.55517478,10.88339223
2431,,20.06472492,20.12278308,22.63231198,19.40491591,20.16183412
2432,,21.74732872,19.94868505,15.90767311,18.43467012,17.79359431
2433,,20.80378251,22.08706786,26.59974906,24.72826087,21.72413793
2434,,25.47699214,20.31729785,17.41693462,19.48866377,19.03242956
