WARD,PRECINCT,LOCATION,ADD_NUM,STREET_DIR,STREET_NAME_1,STREET_NAME_2,STREET_NAME_3,STREET_NAME_4,STREET_TYPE
7,20,St Michael The Archangel,8231,S,South,Shore,,,Dr
7,21,St Michael The Archangel,8231,S,South,Shore,,,Dr
7,22,St Michael The Archangel,8231,S,South,Shore,,,Dr
7,23,Gospel Way Convenant Church,8152,S,Saginaw,,,,Ave
7,24,Gospel Way Convenant Church,8152,S,Saginaw,,,,Ave
7,25,Ninos Heroes Elementary,8344,S,Commercial,,,,Ave
7,26,Coles School,8440,S,Phillips,,,,Ave
7,27,Coles School,8440,S,Phillips,,,,Ave
7,28,Ninos Heroes Elementary,8344,S,Commercial,,,,Ave
7,29,Coles School,8440,S,Phillips,,,,Ave
7,30,Bowen High School,2710,E,89th,,,,St
7,31,Bowen High School,2710,E,89th,,,,St
7,32,The Connection Cmty Church,9100,S,Merrill,,,,Ave
7,33,Hoyne School,8905,S,Crandon,,,,Ave
7,34,Compassion Baptist Church,2650,E,95th,,,,St
7,35,Compassion Baptist Church,2650,E,95th,,,,St
7,36,Warren School,9239,S,Jeffery,,,,Bv
7,37,Trinty Hospital,2320,E,93rd,,,,St
7,38,Burnham School,9928,S,Crandon,,,,Ave
7,39,Greater St Stephen M B Church,1901,E,95th,,,,St
7,40,Greater St Stephen M B Church,1901,E,95th,,,,St
7,41,Burnham School,9928,S,Crandon,,,,Ave
7,42,Burnham School,9928,S,Crandon,,,,Ave
7,43,Jeffery Manor Library,2401,E,100th,,,,St
7,44,Trumball Park,2400,E,105th,,,,St
7,45,Trumball Park,2400,E,105th,,,,St
7,46,Mahalia Jackson Apts,9177,S,South,Chicago,,,Ave
8,1,The Upper Room Ministries,1400,E,72nd,,,,St
8,2,The Upper Room Ministries,1400,E,72nd,,,,St
8,3,St Ailbe Church,9047,S,Harper,,,,Ave
8,4,Jesse Owens Park,8800,S,Clyde,,,,Ave
8,5,Black School,9101,S,Euclid,,,,Ave
8,6,Avalon Park Cmty Church,8100,S,Dante,,,,Ave
8,7,Calvary Baptist Church,2309,E,80th,,,,St
8,8,Caldwell School,8546,S,Cregier,,,,Ave
8,9,Our Lady Of Peace Catholic Ch,2010,E,79th,,,,St
8,10,Avalon Park,1215,E,83rd,,,,St
8,11,Haven Towers,7947,S,South,Chicago,,,Ave
8,12,St Ailbe Church,9047,S,Harper,,,,Ave
8,13,Chgo Department On Aging,1767,E,79th,,,,St
8,14,South Central Cmty Ctr,1021,E,83rd,,,,St
8,15,Burnside School,650,E,91st,,,,Pl
8,16,Grand Crossing Pk,7655,S,Ingleside,,,,Ave
8,17,Chicago Vocational Career Academy,2100,E,87th,,,,St
8,18,Residence - Nedra De Savieu,8029,S,Drexel,,,,Ave
8,19,Jesse Owens Park,8800,S,Clyde,,,,Ave
8,20,So Shore International College Prep,1955,E,75th,,,,St
8,21,So Shore International College Prep,1955,E,75th,,,,St
8,22,Schmid School,9755,S,Greenwood,,,,Ave
8,23,Harold Washington School,9130,S,University,,,,Ave
8,24,St Thomas Lutheran Church,8008,S,Jeffery,,,,Ave
8,25,New Bethlehem #4 MB Church,8850,S,Cottage,Grove,,,Ave
8,26,St Mark Manor,840,E,76th,,,,St
8,27,Warren School,9239,S,Jeffery,,,,Bv
8,28,Our Lady Of Peace Catholic Ch,2010,E,79th,,,,St
8,29,Avalon Park Cmty Church,8100,S,Dante,,,,Ave
8,30,Faith Tabernacle Church,8201,S,Stony,Island,,,Ave
8,31,New Bethlehem #4 MB Church,8850,S,Cottage,Grove,,,Ave
8,32,London Towne House,901,E,100th,,,,Pl
8,33,St Ailbe Faith Apts,1244,E,93rd,,,,St
8,34,Schmid School,9755,S,Greenwood,,,,Ave
8,35,Mc Dowell School,1419,E,89th,,,,St
8,36,Greater Mt Pleasant MB Church,2100,E,83rd,,,,St
8,37,St Felicitas Church,1512,E,84th,,,,St
8,38,Harold Washington School,9130,S,University,,,,Ave
8,39,London Towne House,901,E,100th,,,,Pl
8,40,St Stephens Lutheran Church,8500,S,Maryland,,,,Ave
8,41,Arthur Robert Ashe Jr School,8505,S,Ingleside,,,,Ave
8,42,Chicago Medical Training Center,7415,S,East,End,,,Ave
8,43,Grand Crossing Pk,7655,S,Ingleside,,,,Ave
8,44,The Montclare Senior Residence,1200,E,78th,,,,St
8,45,Maryland Ave Baptist Church,8058,S,Maryland,,,,Ave
8,46,Coles School,8440,S,Phillips,,,,Ave
8,47,Schmid School,9755,S,Greenwood,,,,Ave
8,48,Avalon Park,1215,E,83rd,,,,St
8,49,Southlawn Untd Methodist Church,8605,S,Cregier,,,,Ave
8,50,Southlawn Untd Methodist Church,8605,S,Cregier,,,,Ave
8,51,Caldwell School,8546,S,Cregier,,,,Ave
8,52,St Felicitas Church,1512,E,84th,,,,St
8,53,Calvary Baptist Church,2012,E,83rd,,,,St
8,54,Residence - Nedra De Savieu,8029,S,Drexel,,,,Ave
8,55,The Montclare Senior Residence,1200,E,78th,,,,St
8,56,Mc Dowell School,1419,E,89th,,,,St
9,1,Corliss Early College Stem,821,E,103rd,,,,St
9,2,Damascus Baptist Church,10014,S,Michigan,,,,Ave
9,3,Aldridge School,630,E,131st,,,,St
9,4,Jesse Owens Community Academy,12302,S,State,,,,St
9,5,Victory Centre/Roseland,10450,S,Michigan,,,,Ave
9,6,Brown Academy,12607,S,Union,,,,Ave
9,7,Roseland Manor,11717,S,State,,,,St
9,8,Corliss Early College Stem,821,E,103rd,,,,St
9,9,Church Of The Living Water,10701,S,Vernon,,,,Ave
9,10,Christian Missionary Baptist Church,132,W,104th,,,,St
9,11,Chicago Fire Station,11958,S,State,,,,St
9,12,Tuley Park,501,E,90th,,,,Pl
9,13,Pullman Presbyterian Church,550,E,103rd,,,,St
9,14,St John De LaSalle Church,10206,S,Vernon,,,,Ave
9,15,Aldridge School,630,E,131st,,,,St
9,16,Jesse Owens Community Academy,12302,S,State,,,,St
9,17,Rosehaven Manor,10220,S,Michigan,,,,Ave
9,18,Greater Canaan M B Church,35,W,119th,,,,St
9,19,Brown Academy,12607,S,Union,,,,Ave
9,20,Smith Park,9912,S,Princeton,,,,Ave
9,21,Fernwood Untd Methodist Church,10057,S,Wallace,,,,St
