tract,percent_non_citizen_2016,percent_non_citizen_2015,percent_non_citizen_2014,percent_non_citizen_2013,percent_non_citizen_2012,percent_non_citizen_2011
2106.02,, 27.842 , 24.891 , 26.265 , 33.303 , 28.375 
2107,, 19.483 , 23.152 , 30.796 , 30.212 , 24.471 
2108,, 17.193 , 8.074 , 12.422 , 17.490 , 16.519 
2109,, 15.664 , 15.203 , 13.775 , 14.201 , 10.043 
2203,, 6.321 , 6.559 , 4.505 , 11.093 , 9.653 
2204,, 9.714 , 7.836 , 7.066 , 5.521 , 6.789 
2205,, 6.604 , 6.301 , 7.982 , 8.333 , 6.955 
2206.01,, 11.282 , 9.023 , 7.246 , 11.355 , 9.881 
2206.02,, 10.092 , 7.164 , 9.223 , 10.666 , 12.262 
2207.01,, 15.355 , 18.358 , 18.573 , 25.144 , 21.456 
2207.02,, 18.293 , 21.374 , 24.022 , 25.565 , 21.476 
2209.01,, 20.890 , 21.231 , 19.868 , 19.340 , 15.822 
2209.02,, 23.915 , 27.128 , 25.429 , 22.526 , 22.251 
2210,, 22.768 , 25.261 , 21.950 , 18.695 , 16.757 
2211,, 11.214 , 6.154 , 4.299 , 7.440 , 7.663 
2212,, 9.295 , 10.930 , 14.494 , 15.418 , 9.793 
2213,, 15.238 , 15.532 , 15.328 , 15.760 , 15.252 
2214,, 17.963 , 19.221 , 22.655 , 26.224 , 28.039 
2215,, 11.877 , 11.383 , 9.351 , 12.068 , 11.762 
2216,, 4.189 , 7.024 , 7.602 , 6.302 , 4.621 
2222,, 3.240 , 3.921 , 3.384 , 4.882 , 6.440 
2225,, 17.292 , 14.888 , 15.597 , 15.492 , 14.110 
2226,, 11.385 , 10.232 , 10.513 , 9.331 , 9.126 
2227,, 13.559 , 14.173 , 16.078 , 13.659 , 20.564 
2228,, 19.634 , 20.513 , 24.390 , 32.577 , 26.210 
2229,, 16.054 , 15.718 , 16.145 , 22.841 , 26.653 
2301,, 11.374 , 14.095 , 16.625 , 21.132 , 18.647 
2302,, 17.666 , 19.016 , 14.661 , 14.409 , 8.947 
2303,, 18.266 , 22.137 , 22.126 , 22.768 , 26.695 
2304,, 19.073 , 15.154 , 15.629 , 13.623 , 11.328 
2305,, 18.879 , 21.456 , 20.152 , 24.699 , 29.247 
2306,, 13.615 , 9.476 , 16.325 , 20.687 , 19.725 
2307,, 19.411 , 17.346 , 20.578 , 18.849 , 19.885 
2308,, 9.847 , 10.377 , 17.507 , 18.098 , 22.412 
2309,, 9.944 , 9.583 , 11.267 , 10.120 , 9.089 
2311,, 10.595 , 7.090 , 3.080 , 3.084 ,0.00 
2312,, 10.263 , 5.958 , 4.234 , 1.758 , 3.276 
2315,, 1.380 , 1.407 , 0.064 , 0.056 , 0.054 
2402,, 5.043 , 5.174 , 4.641 , 4.560 , 2.864 
2403,, 7.041 , 5.777 , 4.762 , 3.422 , 3.412 
2405,, 7.064 , 9.796 , 10.503 , 6.142 , 4.705 
2406,, 14.875 , 13.507 , 20.701 , 10.454 , 8.675 
2407,, 10.484 , 15.277 , 22.765 , 23.877 , 22.339 
