tract,percent_high_school_2016,percent_high_school_2015,percent_high_school_2014,percent_high_school_2013,percent_high_school_2012,percent_high_school_2011
2435,,97.58848697,96.5547037,96.51600902,96.42330968,92.71078287
2502,,73.81799695,73.08434183,72.37337039,72.98940248,71.28309859
2503,,75.23809524,71.44342105,73.07136259,73.07632469,73.64802179
2504,,78.50557982,80.39482201,81.3137931,81.25761142,80.07418203
2505,,91.9280114,90.80997361,90.65508827,90.18756964,89.5297212
2506,,73.86527898,75.884385,77.68274259,82.10535164,82.33492678
2507,,78.78714665,75.50633147,70.85155726,72.8025447,74.50799269
2508,,72.46049661,70.53656317,73.27924855,75.86975583,73.90345982
2510,,78.47309136,78.00153173,78.37864078,76.95650173,74.50921053
2511,,74.16367981,72.85302936,69.87102339,68.06945402,68.32904707
2512,,78.67716535,74.73581439,73.20590577,76.99421661,79.22729927
2513,,78.13825805,74.73783784,76.0223042,74.64049587,74.15148064
2514,,75.27853056,73.60873549,72.0018444,75.16568008,76.94198326
2515,,74.50652392,76.12318014,74.86236633,74.46057143,76.75140187
2516,,77.32149464,74.10303144,73.70543657,70.11176471,64.57965532
2517,,61.0701107,51.13877028,50.60779896,54.0756187,65.936685
2518,,71.99644023,68.41280186,68.36203649,69.95351061,69.78652482
2519,,76.91876751,71.02650757,67.63159914,69.21459227,65.08371681
2520,,82.66219239,79.59244645,79.36740098,73.99163026,68.42717949
2521.01,,79.52697709,81.82012623,81.86979511,77.61529052,70.92389313
2521.02,,77.66776678,72.78950719,71.39739941,69.85541622,63.05658153
2522.01,,70.12220818,74.3091055,74.89162458,75.57394398,75.9585128
2522.02,,73.80315195,73.83195099,80.36271743,82.0264568,76.24225972
2601,,76.17283951,83.35326504,82.33262662,80.34917127,76.79863481
2602,,84.63508323,85.68665049,86.80041322,71.30028289,78.74406332
2603,,77.43957028,74.26626866,79.30783699,84.99696312,82.64459459
2604,,56.14035088,57.19491892,63.13928571,65.22085561,68.07978723
2605,,77.42647059,68.55393672,71.83437946,65.40940819,61.73806038
2606,,73.31010453,78.42442563,77.25114717,77.26331878,74.84195459
2607,,69.58266453,73.99610206,75.30976883,72.85912226,75.33560275
2608,,69.85880909,71.71878323,71.012954,69.21551247,66.42488832
2609,,79.31363203,72.55520752,73.16564626,73.53490566,71.9745614
2610,,70.22613065,73.79497041,77.48937644,84.47621622,79.59943182
2705,,67.81701445,70.84776119,68.92564576,65.47528676,68.61867365
2712,,69.6937698,73.23529412,68.19026549,73.41265823,71.36855422
2713,,78.20855615,79.99078591,76.76101695,75.01814461,65.37835196
2714,,76.44394111,76.98508287,82.29461538,83.46538462,82.99133261
2715,,81.36094675,82.41729323,83.40523139,88.6832444,91.1722905
