tract,percent_bachelors_2016,percent_bachelors_2015,percent_bachelors_2014,percent_bachelors_2013,percent_bachelors_2012,percent_bachelors_2011
1702,,25.19685039,19.57613445,17.90964584,18.3429652,17.05246818
1703,,29.3175853,26.17813142,22.43396042,21.23584586,21.18821502
1704,,19.36595451,21.7957115,22.49521595,27.42914378,25.42423242
1705,,23.13323572,23.94926829,24.403698,24.59095092,24.44058567
1706,,20.86878639,21.54513951,21.52306298,25.43028037,23.23125
1707,,20.52088011,20.1586494,19.45227796,20.19252874,19.31928629
1708,,23.10411311,22.01464435,22.01721311,23.98858949,24.8469504
1709,,19.28571429,20.6076694,15.99528875,13.9960396,14.68552036
1710,,20.13589659,19.27005424,23.96715304,26.17594142,24.28108898
1711,,22.4756691,20.58612885,15.54921541,21.13839155,18.30837664
1801,,17.86855317,17.24903569,19.85713945,19.6048951,14.78098953
1901,,10.1010101,8.550130141,4.995841785,4.414992504,1.120874545
1902,,15.77601636,15.36146976,12.41360177,13.76082474,12.47536991
1903,,15.87228135,11.2901496,12.43164894,12.00857143,11.01849551
1904.01,,15.46702377,13.86538462,14.35943396,11.31915789,11.73600687
1904.02,,13.47406828,15.38027883,14.16321244,15.87356288,14.50031283
