tract,percent_poverty_2016,percent_poverty_2015,percent_poverty_2014,percent_poverty_2013,percent_poverty_2012
7207,,0.074,0.053,0.048,0.063
7301,,0.171,0.204,0.199,0.176
7302.01,,0.231,0.259,0.264,0.292
7302.02,,0.145,0.218,0.241,0.198
7303,,0.134,0.218,0.189,0.245
7304,,0.159,0.140,0.151,0.155
7305,,0.113,0.089,0.168,0.181
7306,,0.059,0.114,0.088,0.078
7307,,0.255,0.240,0.252,0.227
7401,,0.041,0.041,0.023,0.022
7402,,0.055,0.045,0.035,0.027
7403,,0.025,0.009,0.013,0.004
7404,,0.062,0.057,0.046,0.064
7501,,0.203,0.273,0.282,0.271
7502,,0.110,0.071,0.068,0.076
7503,,0.033,0.027,0.012,0.008
7504,,0.043,0.037,0.044,0.069
7505,,0.238,0.251,0.147,0.129
7506,,0.363,0.359,0.301,0.274
