tract,percent_white_2016,percent_white_2015,percent_white_2014,percent_white_2013,percent_white_2012,percent_white_2011
1704,,0.8595614765,0.7467741935,0.7769106566,0.7715642311,0.7689759868
1705,,0.7246901811,0.7409983633,0.7603745478,0.7631972644,0.7559038662
1706,,0.6682044003,0.6975486662,0.7002180233,0.6734616837,0.7349071207
1707,,0.6932918396,0.7410808901,0.7813390313,0.7344045369,0.7920856309
1708,,0.7189403974,0.7464000000,0.7084681769,0.7322359396,0.7710409745
1709,,0.6356275304,0.7096587623,0.7425287356,0.7102040816,0.6830102623
1710,,0.5797526457,0.6244810668,0.6724091521,0.7104664391,0.6996694712
1711,,0.5533910534,0.5574348132,0.5297736761,0.5181880577,0.5269419174
1801,,0.3560318009,0.4146671173,0.4478108258,0.4779229954,0.4526184539
1901,,0.0933333333,0.1452205882,0.1302882815,0.1579925651,0.1547169811
1902,,0.1475585763,0.1643835616,0.2063110959,0.2225356787,0.2384150437
1903,,0.3332093023,0.3175390266,0.3422595778,0.3382687927,0.3365146695
1904.01,,0.4127061106,0.3825005977,0.3876828693,0.3568756876,0.3823211584
1904.02,,0.2006566242,0.2380439466,0.2365250476,0.2636196695,0.2656456797
1906.01,,0.1058572950,0.1071802386,0.1578836425,0.1262852034,0.1476525289
1906.02,,0.1347073979,0.1272554606,0.1399184941,0.1618683310,0.2092835520
1907.01,,0.1905400872,0.1595052083,0.1975850714,0.2006814310,0.1990610329
1907.02,,0.1303717135,0.1485265226,0.1535648995,0.1573909172,0.1958581185
1908,,0.1213829945,0.1049266095,0.0992609767,0.0742545025,0.0546535228
1909,,0.0842418236,0.1158798283,0.0649953575,0.1140109890,0.1342592593
1910,,0.0433989788,0.0368838332,0.0368695652,0.0312500000,0.0354889590
1911,,0.0434610304,0.0432207661,0.0404708372,0.0352605652,0.0229055148
1912,,0.0612141224,0.0757232704,0.0809069827,0.0747943156,0.0778189518
1913.01,,0.0147965475,0.0146439993,0.0253313202,0.0250125063,0.0226122173
1913.02,,0.0431602048,0.0359669811,0.0353665806,0.0564263323,0.1050488599
2001,,0.1536037810,0.1642407126,0.1244893571,0.1345350627,0.1769436997
2002,,0.0789200415,0.0817230274,0.0748742783,0.0694194014,0.0968536770
2003,,0.0616923718,0.0603915035,0.0842671448,0.0301151461,0.1564771270
2004.01,,0.0397464033,0.0372312533,0.0462257192,0.1073741903,0.0965133906
2004.02,,0.0292987512,0.0307463427,0.0366854797,0.0449010654,0.0313193588
2101,,0.4218390805,0.5195822454,0.4507642195,0.4113541182,0.4000907235
2104,,0.2227962544,0.2221867008,0.1977325775,0.1994941511,0.2091383011
2105.01,,0.2498826842,0.2689866492,0.2530811730,0.2508324084,0.2433433665
2105.02,,0.2719137686,0.3071908739,0.2631787554,0.2575406032,0.3896361632
2106.01,,0.1896365599,0.1940639269,0.2113195940,0.2118746233,0.2329663791
2106.02,,0.2993645564,0.2738730005,0.2472718254,0.1859892569,0.2103336921
2107,,0.3550071191,0.4037204625,0.3131147541,0.3027888446,0.3590588235
2108,,0.4117100372,0.4464980545,0.3939662822,0.3246963563,0.4125441696
2109,,0.4310729067,0.3217499224,0.3015770840,0.2584670232,0.3167049557
2203,,0.6052741733,0.5911166459,0.6432884347,0.6284536082,0.6499110320
2204,,0.6513905210,0.5863547758,0.6176470588,0.5582822086,0.5574642127
2205,,0.6458635704,0.6282624907,0.6162577810,0.5510638298,0.5778764336
2206.01,,0.4193725922,0.4567669173,0.4327122153,0.3187250996,0.2984189723
2206.02,,0.4935064935,0.5208955224,0.5004391744,0.4730591599,0.4240651765
2207.01,,0.2460364063,0.2356172304,0.2019464720,0.2023622047,0.2212938005
2207.02,,0.1846417217,0.1601897876,0.1726452210,0.2293364377,0.2278919990
2209.01,,0.1675607447,0.1643918714,0.1587635054,0.1149764151,0.1444159178
2209.02,,0.1520467836,0.1846616541,0.1569422777,0.1813939017,0.1622164800
2210,,0.1922433969,0.1558082360,0.1702843167,0.1798117494,0.1621275232
2211,,0.3633911368,0.3671517672,0.3414330218,0.3293625914,0.3549419768
2212,,0.4606386342,0.5044045677,0.4761396011,0.5186295503,0.5425619835
2213,,0.5293897417,0.4728457639,0.4579331541,0.4402872260,0.4127159133
2214,,0.3589321028,0.4094319400,0.3238155005,0.2715850515,0.2634032634
2215,,0.4590038314,0.4432789433,0.4508348794,0.4563683624,0.4287861706
2216,,0.7135135135,0.6962796665,0.6998050682,0.7207509219,0.6911049340
2222,,0.7984754645,0.8243380855,0.8344612181,0.7774278215,0.7068062827
2225,,0.2647453083,0.2598314607,0.2657004831,0.2665736218,0.2842535787
2226,,0.4375384615,0.4234234234,0.3716381418,0.4174340086,0.4126466754
2227,,0.2643346556,0.2488721805,0.2265298366,0.2432321575,0.2012703454
2228,,0.0759162304,0.0611439842,0.0643015521,0.0238365494,0.0047225502
2229,,0.1740196078,0.1799544419,0.1604696673,0.1193092622,0.0797546012
2301,,0.2447284345,0.2466585662,0.2337500000,0.2350230415,0.2370321733
2302,,0.0698219306,0.1039553753,0.0975467290,0.0905172414,0.1472814866
2303,,0.0589225589,0.0376068376,0.0125603865,0.0044642857,0.0086114101
2304,,0.0573403823,0.0371342836,0.0503768346,0.0592452830,0.0495837857
2305,,0.0237372343,0.0288409704,0.0341705607,0.0982808023,0.0756024096
2306,,0.0436347278,0.0457233521,0.0434726187,0.0259515571,0.0373278237
2307,,0.0415944541,0.0282016612,0.0424071082,0.0461568173,0.0285355348
2308,,0.0839386602,0.0719665272,0.0732635585,0.0357873211,0.0230966638
2309,,0.1285178236,0.1237633366,0.1433211531,0.1574787972,0.1508660831
2311,,0.0774246129,0.0692746536,0.0885466795,0.0625550661,0.0008591065
2312,,0.0087539579,0.0190121521,0.0279637653,0.0251088048,0.0181102362
2315,,0.0325885869,0.0264178033,0.0246615087,0.0176056338,0.0189590413
2402,,0.7518248175,0.7603812117,0.6889692586,0.6595877577,0.6333545512
2403,,0.8269662921,0.8659058488,0.8699360341,0.8821292776,0.8328690808
2405,,0.7928880346,0.7734447539,0.7437163375,0.8237224566,0.7887453875
2406,,0.5463150778,0.6335820896,0.4632501686,0.5878320480,0.6688432836
2407,,0.4135936370,0.3826208830,0.2742920600,0.2566323768,0.2937754508
2408,,0.2365286444,0.2230176211,0.1585820896,0.2464370546,0.2928275044
2409,,0.2026920032,0.2273462783,0.2687626775,0.2461059190,0.2555803571
2410,,0.2435775452,0.2126719057,0.2463976945,0.2194480946,0.2077645051
2411,,0.4825209257,0.4069738481,0.4557733051,0.4136352073,0.3905579399
2412,,0.5598944591,0.6009221311,0.6027874564,0.6005873715,0.6154207804
2413,,0.6740473738,0.6453674121,0.6476793249,0.7176656151,0.7011235955
2414,,0.6696713615,0.6515845743,0.6407517310,0.6286719073,0.6474851746
2415,,0.7230030854,0.7143353002,0.7331631025,0.7620523416,0.7125491598
2416,,0.6231239578,0.6465968586,0.6579947384,0.5918194640,0.5985099338
2420,,0.4668699187,0.4525699958,0.4948071217,0.4570197324,0.4322851153
2421,,0.7155884867,0.7354273633,0.7701406650,0.7647604328,0.7019115890
2422,,0.6672099973,0.6670967742,0.6861872992,0.6996741038,0.7766124803
2423,,0.7554779295,0.7842157842,0.7670504872,0.7545197740,0.7857572115
2424,,0.8618143460,0.8458646617,0.8534452606,0.8322056834,0.8601665510
2425,,0.5044887781,0.4984725051,0.4664852832,0.4057099925,0.4523684211
2426,,0.4467005076,0.4540756793,0.4066270829,0.4484035985,0.4650924025
2427,,0.3046432616,0.2954410894,0.1981641469,0.2109842306,0.1721432075
2428,,0.7455882353,0.7947194719,0.8047834518,0.8628536285,0.7912992357
2429,,0.6165458937,0.5533553355,0.5850025681,0.6340257171,0.6140262361
2430,,0.5125404531,0.4386989158,0.4695512821,0.4803714648,0.5362563238
2431,,0.5122226401,0.4545104086,0.4093223658,0.4161020327,0.4744920993
2432,,0.5832223702,0.5977168950,0.5694635488,0.5642512077,0.5341426404
2433,,0.6179729175,0.6094347641,0.6280956447,0.6582684379,0.6424065987
2434,,0.4850976362,0.4802030457,0.4986043266,0.5058977720,0.5145833333
2435,,0.6907894737,0.6894934334,0.7070707071,0.6749763332,0.6767739919
2502,,0.0101398601,0.0097708895,0.0156250000,0.0132475397,0.0112636396
2503,,0.0137614679,0.0142408377,0.0074257426,0.0024410090,0.0000000000
2504,,0.0337696832,0.0107328526,0.0188014101,0.0017182131,0.0260258662
2505,,0.3572553136,0.3561268433,0.3874587459,0.4092669248,0.4179894180
2506,,0.0052631579,0.0058426966,0.0113512334,0.0183393793,0.0226407534
2507,,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
2508,,0.0127768313,0.0135356850,0.0128831630,0.0118838028,0.0132762313
2510,,0.0178571429,0.0062305296,0.0024793388,0.0000000000,0.0000000000
2511,,0.0052607502,0.0085135757,0.0070830650,0.0062357098,0.0122900451
2512,,0.0176867582,0.0317714286,0.0213788134,0.0081094780,0.0064360418
2513,,0.0315444490,0.0086589229,0.0070317494,0.0046082949,0.0030662306
2514,,0.0347766006,0.0407177364,0.0379650721,0.0761639676,0.0564240352
2515,,0.0188679245,0.0173849167,0.0264159924,0.0238940147,0.0300572519
2516,,0.0202440377,0.0197885606,0.0076994148,0.0075614367,0.0045099218
2517,,0.0128552097,0.0132963989,0.0132085856,0.0148791073,0.0132183908
2518,,0.0082449941,0.0072992701,0.0018248175,0.0030278563,0.0066972828
2519,,0.0092575785,0.0135022504,0.0173738724,0.0270493155,0.0304478669
2520,,0.0143655227,0.0135050251,0.0191441441,0.0130587644,0.0165982204
2521.01,,0.0124629080,0.0106323447,0.0060472787,0.0038486209,0.1625441696
2521.02,,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
2522.01,,0.0405219780,0.0325906219,0.0507925072,0.0523935168,0.0525951557
2522.02,,0.0112138501,0.0139601724,0.0153197158,0.0077431109,0.0058375635
2601,,0.0838264300,0.0754536772,0.0625000000,0.0732657833,0.0622473727
2602,,0.0032520325,0.0039494471,0.0047984645,0.0043859649,0.0000000000
2603,,0.0175084175,0.0182063385,0.0227586207,0.0168463612,0.0139211137
2604,,0.0074626866,0.0089342693,0.0053156146,0.0078947368,0.0092436975
2605,,0.0050083472,0.0038105607,0.0033039648,0.0040792541,0.0037678975
2606,,0.0327421555,0.0273919753,0.0275618375,0.0224108659,0.0318926975
2607,,0.0138957816,0.0116441546,0.0150000000,0.0000000000,0.0000000000
2608,,0.0069302894,0.0064153970,0.0000000000,0.0093541203,0.0169491525
2609,,0.0384114583,0.0242195910,0.0326392797,0.0227038184,0.0216016860
2610,,0.0012520868,0.0000000000,0.0000000000,0.0000000000,0.0000000000
2705,,0.0292864750,0.0269569725,0.0346320346,0.0126506024,0.0233949946
2712,,0.0374800638,0.0090579710,0.0125698324,0.0163934426,0.0122749591
2713,,0.0059171598,0.0051325920,0.0060085837,0.0147826087,0.0210430009
2714,,0.0362869198,0.0338835795,0.0321637427,0.0307929176,0.0257879656
2715,,0.0256227758,0.0155520995,0.0030627871,0.0035842294,0.0028228652
2718,,0.0081784387,0.0089430894,0.0199335548,0.0196656834,0.0188976378
2801,,0.7665541037,0.7682403433,0.7593368237,0.7423011525,0.7428509059
2804,,0.0487375220,0.0417276720,0.0950704225,0.1463157895,0.2071668533
